,song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
507,Angel Down - Work Tape,14.0,139826.0,0.5770000000000001,0.6509999999999999,0.243,0.0,0.0,0.108,-8.297,1.0,0.0309,111.709,4.0,0.19
508,Angel of Small Death and the Codeine Scene - Live From Spotify London,51.0,210920.0,0.928,0.594,0.2,0.0,6.0,0.6729999999999999,-10.472,0.0,0.0622,92.821,4.0,0.415
510,Anhelo,31.0,202475.0,0.502,0.696,0.721,7.21e-06,7.0,0.186,-6.38,1.0,0.0527,106.896,4.0,0.922
512,Animals,5.0,231013.0,0.000189,0.459,0.741,0.0,4.0,0.481,-6.43,0.0,0.0495,189.879,4.0,0.344
513,Animals - Victor Niglio & Martin Garrix Festival Trap Mix,47.0,198480.0,0.00345,0.66,0.882,0.8690000000000001,1.0,0.0319,-4.324,1.0,0.0401,139.99,4.0,0.345
514,Anne Marie,22.0,145346.0,0.00451,0.4970000000000001,0.79,0.0459,2.0,0.155,-5.252999999999999,1.0,0.059,150.148,4.0,0.614
515,Anoche Soñe,0.0,263600.0,0.5660000000000001,0.708,0.825,1.4499999999999997e-05,10.0,0.539,-8.181000000000001,1.0,0.104,81.524,4.0,0.958
517,"Another Brick in the Wall, Pt. 1",63.0,192145.0,0.937,0.617,0.0457,0.6409999999999999,0.0,0.0991,-26.401,1.0,0.0344,99.48,4.0,0.0967
518,Another Chance (Don Diablo Edit),64.0,172380.0,0.00272,0.584,0.959,0.0,9.0,0.5529999999999999,-1.785,0.0,0.0942,125.987,4.0,0.0729
519,Another Dimension,2.0,170211.0,0.00338,0.599,0.925,0.0062299999999999,11.0,0.132,-4.513,1.0,0.035,107.942,4.0,0.502
520,Another Girl Another Planet,49.0,180093.0,0.179,0.325,0.688,0.000104,4.0,0.1369999999999999,-12.473,1.0,0.117,156.349,4.0,0.378
521,Another Life,57.0,358626.0,0.127,0.5720000000000001,0.61,0.0295,9.0,0.0953,-7.994,1.0,0.0448,71.25399999999998,4.0,0.364
522,Another Man,40.0,415306.0,0.00729,0.84,0.588,3.41e-05,0.0,0.0979,-10.652,1.0,0.0587,111.988,4.0,0.88
524,Another Place - Radio Edit,37.0,216573.0,0.0235,0.6709999999999999,0.799,0.00404,6.0,0.352,-5.346,0.0,0.0519,127.965,4.0,0.312
525,Another You,62.0,192306.0,0.00807,0.59,0.647,4.3e-05,6.0,0.0921,-5.06,0.0,0.033,127.979,4.0,0.39
526,Ansiedad,42.0,207960.0,0.8290000000000001,0.789,0.417,0.0,7.0,0.163,-11.078,1.0,0.0405,127.709,3.0,0.8340000000000001
527,Answer,33.0,151578.0,0.201,0.6509999999999999,0.764,0.979,1.0,0.143,-10.001,1.0,0.048,76.008,4.0,0.373
529,Answers Within - Focus Version,41.0,269310.0,0.25,0.636,0.285,0.613,11.0,0.118,-14.776,0.0,0.0298,157.938,4.0,0.25
530,Ante Up (Robbin Hoodz Theory),59.5,240190.5,0.005915,0.6735,0.8425,3.4575e-05,1.0,0.7909999999999999,-4.6595,1.0,0.226,94.111,4.0,0.8965000000000001
532,Anthem Part Two,61.0,227200.0,0.000102,0.552,0.932,0.0,0.0,0.119,-3.782,1.0,0.0426,103.108,4.0,0.518
533,Any Man Of Mine,67.0,246760.0,0.207,0.5920000000000001,0.725,0.0,8.0,0.148,-8.698,1.0,0.0412,78.235,4.0,0.784
534,Any Way You Want It,67.33333333333333,201808.3333333333,0.0010446666666666,0.5223333333333334,0.9333333333333336,0.00341,7.0,0.1366666666666666,-7.258333333333334,1.0,0.0476666666666666,138.16066666666666,4.0,0.581
535,"Any Way You Want It (World Championship Medley) - From ""Pitch Perfect 2"" Soundtrack",47.0,116280.0,0.322,0.603,0.792,0.0,7.0,0.118,-4.779,1.0,0.138,142.97299999999996,4.0,0.8170000000000001
537,Anyone Else,54.0,275586.0,0.122,0.5670000000000001,0.853,0.282,1.0,0.136,-4.605,0.0,0.0682,119.964,4.0,0.27
538,Anything Like Her (feat. Tiffi),58.0,191707.0,0.843,0.701,0.388,0.00914,2.0,0.115,-12.12,1.0,0.285,81.955,4.0,0.142
539,Anytime - Remastered,26.0,172586.0,0.957,0.7070000000000001,0.163,4.59e-06,0.0,0.0988,-12.704,1.0,0.0369,142.451,4.0,0.519
540,Anyway,50.0,169218.0,0.0711,0.754,0.846,6.11e-06,5.0,0.132,-4.901,0.0,0.0716,103.963,4.0,0.649
542,Anywhere - 2016 Remastered,41.0,247213.0,0.183,0.583,0.557,0.0,7.0,0.109,-6.045,0.0,0.27,125.888,4.0,0.856
543,Aoyama Bochi,66.0,123364.0,0.991,0.486,0.0349,0.929,7.0,0.091,-22.107,0.0,0.0643,77.563,4.0,0.162
544,Aparentemente,52.0,303931.0,0.3703499999999999,0.7364999999999999,0.611,0.001055,1.5,0.16765,-8.487,0.5,0.0670999999999999,91.6395,4.0,0.8294999999999999
546,Apparent Lushness,47.0,222733.0,0.952,0.243,0.0842,0.618,9.0,0.112,-29.673,0.0,0.0605,71.248,4.0,0.152
547,Applause,73.0,212333.0,0.0265,0.669,0.78,1.63e-06,7.0,0.143,-4.287,0.0,0.053,139.945,4.0,0.738
548,Apple Pie,53.0,179447.0,0.017,0.633,0.925,0.000149,5.0,0.0889,-4.767,0.0,0.0976,117.049,4.0,0.472
549,Apple Pie Bed,46.0,208813.0,0.078,0.7709999999999999,0.687,0.0,3.0,0.452,-5.7,1.0,0.0475,126.823,4.0,0.7809999999999999
550,Apply Some Pressure,61.0,200346.0,0.000719,0.378,0.953,2.89e-05,9.0,0.0936,-3.632,1.0,0.138,167.808,4.0,0.512
551,Aprende a Querer,20.0,326826.0,0.287,0.556,0.597,7.54e-05,5.0,0.113,-13.701,1.0,0.145,109.174,4.0,0.606
552,Aprendimos,8.0,208244.0,0.235,0.688,0.802,1.09e-05,8.0,0.241,-8.157,1.0,0.0336,96.891,4.0,0.7020000000000001
553,April,46.0,291773.0,0.607,0.6335,0.3728499999999999,0.877,5.5,0.0978,-16.287,1.0,0.06495,102.948,4.0,0.2455
554,Aqua skies,53.0,102077.0,0.818,0.562,0.377,0.792,1.0,0.116,-14.323,1.0,0.4270000000000001,72.807,4.0,0.12
555,Aqualung,64.0,396186.0,0.0667,0.48,0.47,0.0171,7.0,0.067,-11.919,0.0,0.044,122.569,4.0,0.701
556,Aquel Lugar,63.0,233325.0,0.36,0.747,0.619,0.0,7.0,0.132,-4.706,1.0,0.036,92.124,4.0,0.652
557,Aquellos Ojos Verdes,45.0,186862.0,0.614,0.613,0.485,1.3800000000000003e-05,4.0,0.184,-4.63,0.0,0.0243,99.419,4.0,0.463
558,Aqueous Transmission,55.0,466560.0,0.00501,0.415,0.456,0.763,9.0,0.178,-12.082,1.0,0.0352,151.937,4.0,0.0935
559,Aqui No Queda Nada,25.0,217386.0,0.619,0.477,0.718,0.0,8.0,0.0702,-4.126,0.0,0.0339,102.938,4.0,0.534
560,Aquél Viejo Motel,51.0,308893.0,0.5710000000000001,0.667,0.828,0.000128,2.0,0.133,-4.22,1.0,0.0286,91.324,4.0,0.7509999999999999
561,Aquí Me Tienes,41.0,230706.0,0.45,0.594,0.475,1.07e-06,9.0,0.103,-6.18,1.0,0.0297,75.928,4.0,0.249
562,Arabeat - Deep House Remix,23.0,391288.0,0.000784,0.736,0.815,0.757,2.0,0.0397,-4.437,1.0,0.0436,122.992,4.0,0.649
563,"Archie, Marry Me",50.0,196560.0,0.00956,0.27,0.83,0.434,7.0,0.142,-4.592,1.0,0.0741,117.314,4.0,0.205
564,Arde Santiago,0.0,206626.0,0.0376,0.738,0.7240000000000001,0.0804,2.0,0.251,-6.4670000000000005,1.0,0.0441,119.986,4.0,0.807
565,Are We Faded - Machinedrum Juke-Out Remix,24.0,202126.0,0.00432,0.7609999999999999,0.476,0.347,4.0,0.125,-6.924,0.0,0.113,75.993,4.0,0.356
567,Are You Gonna Go My Way,75.0,211933.0,0.0016499999999999,0.619,0.67,0.0109,11.0,0.331,-10.319,0.0,0.0353,129.267,4.0,0.777
568,Are You Gonna' Waste My Time?,0.0,155786.0,0.00655,0.459,0.7020000000000001,1.88e-05,9.0,0.11,-9.255,1.0,0.07,148.161,4.0,0.6459999999999999
569,Are You High?,51.0,192188.0,0.0056799999999999,0.654,0.872,0.0,1.0,0.352,-3.954,0.0,0.0912,102.959,4.0,0.789
570,Are You Ready,72.0,261705.0,0.0001079999999999,0.528,0.976,0.0,2.0,0.24,-2.188,1.0,0.0803,100.082,4.0,0.511
571,Are You Ready For Love - '79 Version Radio Edit,60.0,210500.0,0.266,0.8059999999999999,0.74,0.00237,2.0,0.1369999999999999,-4.695,1.0,0.0313,116.507,4.0,0.7390000000000001
572,Are You with Me - Dimaro Remix,39.0,282744.0,0.00588,0.773,0.873,0.0186,5.0,0.0395,-4.121,0.0,0.145,128.02,4.0,0.534
573,Are You with Me Now?,43.0,260573.0,0.00323,0.603,0.633,0.0347,0.0,0.0722,-7.792000000000002,1.0,0.0259,141.565,4.0,0.721
574,Are the Good Times Really Over (I Wish a Buck Was Still Silver),54.0,253293.0,0.8079999999999999,0.616,0.217,0.000109,0.0,0.122,-15.439,1.0,0.0335,130.613,3.0,0.141
576,Aries (YuGo) Part 2 (with Rae Sremmurd & Big Sean feat. Quavo & Pharrell),34.0,273087.0,0.12,0.877,0.54,0.0,4.0,0.23,-4.961,0.0,0.0513,141.984,4.0,0.255
577,Arizona,50.0,199742.0,0.5379999999999999,0.298,0.409,0.00492,7.0,0.115,-8.072000000000001,1.0,0.0298,132.917,4.0,0.212
578,Armed And Ready - 2008 Remastered Version,4.0,248333.0,0.00388,0.33,0.963,0.00714,9.0,0.0793,-5.509,1.0,0.106,171.59,4.0,0.7340000000000001
579,Arms,70.0,203560.0,0.932,0.41,0.141,0.0898,2.0,0.118,-18.564,1.0,0.0337,149.888,4.0,0.24
580,Army Arrangement,23.0,1799346.0,0.468,0.737,0.8490000000000001,0.00187,0.0,0.0862,-5.5870000000000015,0.0,0.0688,98.162,4.0,0.6859999999999999
582,Around Midnight,49.0,214175.0,0.165,0.919,0.564,0.0,4.0,0.0883,-6.574,0.0,0.292,93.924,4.0,0.743
583,Around The World,66.33333333333333,285871.0,0.0013546666666666,0.702,0.8343333333333334,0.7469999999999999,3.0,0.2642,-5.668333333333334,0.3333333333333333,0.0741333333333333,115.81466666666668,4.0,0.6716666666666667
584,Arouse,54.0,213913.0,0.0728,0.67,0.7509999999999999,0.0,1.0,0.368,-6.066,1.0,0.433,91.961,4.0,0.5329999999999999
585,Arrecotin Arrecotan,30.0,218346.0,0.631,0.493,0.405,0.0,2.0,0.088,-13.57,0.0,0.0433,111.076,4.0,0.8859999999999999
586,Arregaçada / U Can't Touch This,46.0,184388.0,0.00722,0.79,0.913,0.0,9.0,0.129,-5.678,0.0,0.0876,134.018,4.0,0.912
587,Arrepentida,52.0,251351.0,0.454,0.737,0.614,0.0,8.0,0.285,-11.871,1.0,0.0542,110.929,4.0,0.895
588,Arrows (feat. Dawn Golden),46.0,266666.0,0.00302,0.608,0.5429999999999999,0.00292,1.0,0.099,-6.24,1.0,0.0313,144.053,4.0,0.187
589,Arsonist's Lullabye,64.0,266546.0,0.6729999999999999,0.463,0.373,0.0745,6.0,0.118,-10.666,0.0,0.0362,64.831,4.0,0.184
591,As I Sleep (feat. Charlee),60.0,193471.0,0.0195,0.6940000000000001,0.8240000000000001,0.0426,8.0,0.327,-6.306,0.0,0.161,123.014,4.0,0.202
592,As If It's Your Last,78.0,213264.0,0.0688,0.7859999999999999,0.853,0.0,8.0,0.0759,-2.687,1.0,0.0816,125.034,4.0,0.45
593,As Time Goes By,58.0,198000.0,0.992,0.389,0.0471,0.953,3.0,0.124,-21.994,1.0,0.0446,109.486,4.0,0.123
594,As U Wave,46.0,219706.0,0.669,0.452,0.763,0.6779999999999999,9.0,0.192,-5.769,1.0,0.0305,150.017,3.0,0.451
595,As We Ran,58.0,200321.0,0.0169,0.431,0.588,0.00689,9.0,0.368,-6.855,1.0,0.0348,143.975,4.0,0.183
596,Asesina,90.0,187213.0,0.614,0.8450000000000001,0.6629999999999999,0.0,10.0,0.114,-5.233,0.0,0.27,94.215,4.0,0.508
598,Asia Minor,23.0,181186.0,0.5820000000000001,0.45,0.723,0.861,5.0,0.193,-8.285,1.0,0.0357,147.291,4.0,0.893
600,Asleep In My Arms,57.0,127382.0,0.991,0.397,0.014,0.95,5.0,0.128,-24.693,1.0,0.0452,74.78699999999998,4.0,0.544
601,Asos Model Crush,25.0,147875.0,0.809,0.6409999999999999,0.329,0.835,4.0,0.105,-10.337,1.0,0.0625,122.95,3.0,0.0608
602,Asshole - Demo,48.0,192661.0,0.472,0.4,0.43,1.23e-05,7.0,0.606,-7.193,1.0,0.029,149.218,4.0,0.7290000000000001
603,Assurance,59.0,249320.0,0.275,0.665,0.799,2.99e-06,4.0,0.0756,-3.244,0.0,0.115,206.007,4.0,0.8059999999999999
604,Astral Walker,36.0,337290.0,0.00122,0.258,0.762,0.845,3.0,0.116,-4.143,0.0,0.0386,174.011,4.0,0.114
605,Astronaut (Something About Your Love),56.0,202694.0,0.225,0.731,0.59,0.00394,5.0,0.113,-7.661,0.0,0.0958,106.073,4.0,0.341
607,"Astronaut P*ssy (feat. Skeme, ScHoolboy Q)",46.0,303519.0,0.264,0.7170000000000001,0.8220000000000001,0.0,1.0,0.0648,-6.813,1.0,0.24,123.957,4.0,0.591
608,Astroworld,40.0,152694.0,0.223,0.784,0.539,0.785,6.0,0.0801,-10.011,0.0,0.0636,140.023,4.0,0.358
609,At Home He's a Tourist,43.0,210866.0,0.0072099999999999,0.65,0.518,0.13,0.0,0.0969,-9.069,1.0,0.301,138.822,4.0,0.603
610,At Least I Know,66.0,323186.0,0.0539,0.708,0.664,0.0,2.0,0.124,-6.857,1.0,0.124,107.973,4.0,0.404
611,At My Front Door,37.0,158160.0,0.753,0.511,0.417,0.0,8.0,0.0913,-13.912,1.0,0.033,174.43599999999995,4.0,0.96
612,At The Hop,31.0,153099.5,0.5035000000000001,0.5295,0.8245,2.895e-05,7.5,0.2525,-7.138,1.0,0.04115,142.4895,4.0,0.9315
613,At Twilight,54.0,250971.0,0.00315,0.45,0.872,0.83,2.0,0.071,-5.312,1.0,0.0408,175.025,4.0,0.2
614,At War with Love,41.0,213533.0,1.27e-05,0.302,0.943,0.000761,0.0,0.0435,-2.483,1.0,0.0739,134.946,3.0,0.161
615,Atento Al Lobo,41.0,267818.0,0.648,0.862,0.672,0.0,0.0,0.149,-6.322,1.0,0.0332,107.087,4.0,0.7959999999999999
616,Atomic Dog,45.0,286160.0,0.3,0.895,0.665,0.0,6.0,0.236,-6.285,0.0,0.224,107.654,4.0,0.7340000000000001
617,Atrévete-Te-Te,74.0,239306.0,0.0959,0.8290000000000001,0.878,0.0,9.0,0.7759999999999999,-5.9510000000000005,1.0,0.101,87.991,4.0,0.883
618,Attention,49.5,214859.8333333333,0.1221333333333333,0.6791666666666667,0.6763333333333333,1.56e-05,5.666666666666667,0.1129333333333333,-5.4798333333333344,0.1666666666666666,0.1019333333333333,117.6505,4.0,0.6508333333333334
619,Attrition,33.0,96630.0,1.95e-06,0.337,0.924,0.882,6.0,0.389,-3.754,1.0,0.0719,109.954,4.0,0.237
620,Audio - CID Remix,73.0,161973.0,0.106,0.524,0.913,0.000131,3.0,0.1769999999999999,-3.0690000000000004,0.0,0.05,123.936,4.0,0.644
621,"Audio - with Sia, Diplo & Labrinth",84.0,203400.0,0.192,0.365,0.6920000000000001,1.51e-06,3.0,0.0862,-4.586,0.0,0.0671,89.99799999999998,4.0,0.3720000000000001
622,Aunque Tú,40.0,200746.0,0.884,0.6779999999999999,0.0915,0.0,7.0,0.123,-17.363,0.0,0.0479,78.98100000000002,4.0,0.353
623,Aura,50.0,102536.0,0.0774,0.0,0.56,0.963,11.0,0.589,-9.866,1.0,0.0,0.0,0.0,0.0
624,Australia,42.0,236733.0,0.00442,0.434,0.8420000000000001,0.0001419999999999,4.0,0.308,-4.468,1.0,0.038,169.935,4.0,0.838
625,Autobiografia,34.0,275573.0,0.235,0.7020000000000001,0.831,0.0,4.0,0.0848,-5.477,1.0,0.0972,100.95,4.0,0.475
626,Automatic,7.0,230720.0,0.0129,0.7909999999999999,0.679,0.0921,6.0,0.364,-6.879,1.0,0.0511,121.993,4.0,0.73
627,Automatic (feat. DC),20.0,184266.0,0.0997,0.905,0.894,0.0,9.0,0.0432,-3.762,0.0,0.128,138.026,4.0,0.91
628,Autopilot,51.0,225611.0,0.0155,0.586,0.603,4.19e-05,4.0,0.138,-8.865,0.0,0.0402,156.993,4.0,0.556
629,Autumn,33.0,250980.5,0.2806,0.645,0.5,0.4404999999999999,1.0,0.0991,-10.7025,0.5,0.0642,125.0635,4.0,0.2445
630,Autumn Sweater,61.0,318373.0,0.141,0.628,0.455,0.693,7.0,0.135,-12.436,1.0,0.0427,102.09,4.0,0.858
632,Avalanche,65.0,262013.0,2.97e-05,0.426,0.934,0.0089,7.0,0.113,-4.063,0.0,0.0685,160.077,4.0,0.285
633,Avant-Garde,34.0,161739.0,0.314,0.7070000000000001,0.581,0.000232,10.0,0.208,-8.294,0.0,0.0669,161.02700000000004,4.0,0.476
634,Ave Que Emigra,27.0,260205.0,0.369,0.515,0.794,0.000798,0.0,0.0825,-9.286,1.0,0.0553,177.574,4.0,0.62
635,Aventurera,65.0,215030.0,0.00593,0.755,0.8059999999999999,6.48e-06,5.0,0.147,-3.718,0.0,0.0655,163.96099999999996,4.0,0.831
636,Avirex & Akademiks,15.0,233142.0,0.000228,0.685,0.59,0.96,0.0,0.0862,-7.101,0.0,0.0481,140.076,4.0,0.513
638,Away,67.0,177000.0,0.991,0.363,0.131,0.903,5.0,0.124,-19.711,0.0,0.0598,70.78399999999998,4.0,0.294
639,Awesome (feat. Matt Ox),2.0,178746.0,0.3699999999999999,0.8240000000000002,0.47,0.0,1.0,0.115,-8.767000000000001,1.0,0.425,69.968,4.0,0.602
640,Awful Things,79.0,214426.0,0.0157,0.368,0.7959999999999999,0.0,1.0,0.0694,-4.923,0.0,0.0823,170.033,4.0,0.181
641,Ay Caramba,76.0,211525.0,0.0355,0.629,0.647,0.00373,1.0,0.0797,-3.791,1.0,0.199,139.787,5.0,0.531
642,Ay Que Rico,1.0,205333.0,0.5660000000000001,0.715,0.726,0.00062,7.0,0.121,-6.5710000000000015,1.0,0.0541,131.28,4.0,0.868
643,Ay Yar Begoo,23.0,279280.0,0.0932,0.6409999999999999,0.525,0.000425,0.0,0.112,-12.151,0.0,0.0437,104.002,4.0,0.5479999999999999
645,"Ay, Mamá Inés",40.0,194706.0,0.669,0.794,0.362,0.8809999999999999,2.0,0.0941,-13.089,0.0,0.0879,87.083,4.0,0.8059999999999999
646,Ayer,24.0,184320.0,0.293,0.388,0.851,0.00212,0.0,0.299,-1.865,1.0,0.076,195.9,4.0,0.696
647,Ayer Y Hoy,48.0,250426.0,0.518,0.541,0.369,0.0,11.0,0.177,-12.561,1.0,0.03,167.476,4.0,0.664
649,"Azucar, Azucar",35.0,180207.0,0.22,0.7759999999999999,0.296,0.0,0.0,0.087,-18.156,1.0,0.0386,124.721,4.0,0.961
650,"Azukita (Steve Aoki, Daddy Yankee, Play-N-Skillz & Elvis Crespo)",81.0,226161.0,0.00175,0.715,0.942,0.000461,8.0,0.0581,-2.889,1.0,0.107,130.019,4.0,0.818
651,Azúcar,53.0,210120.0,0.376,0.6629999999999999,0.703,0.0,2.0,0.21,-3.763,0.0,0.0537,195.969,4.0,0.932
652,Azúcar Amargo,55.0,281080.0,0.07535,0.6815,0.9435,0.0,7.0,0.05615,-4.1395,1.0,0.0306,130.0655,4.0,0.6619999999999999
654,B The 1 4 U - Remix,42.0,261624.0,0.0354,0.7070000000000001,0.59,0.8059999999999999,10.0,0.229,-10.947,1.0,0.0365,120.006,4.0,0.318
655,B.A.G.,47.0,172240.0,0.0644,0.8220000000000001,0.511,5.17e-06,7.0,0.122,-8.336,0.0,0.334,160.088,4.0,0.239
656,B.I.D,6.0,164133.0,0.102,0.759,0.695,0.0,10.0,0.0899,-5.6320000000000014,0.0,0.0796,154.967,4.0,0.522
657,B.O.,59.0,237406.0,0.556,0.772,0.5589999999999999,0.0,1.0,0.101,-8.735,1.0,0.124,100.056,4.0,0.794
658,B.O.B.,62.0,304226.0,0.0555,0.746,0.978,4.02e-05,9.0,0.026,-5.324,1.0,0.0978,153.89700000000005,4.0,0.652
659,B.T.M.F. - Bounce to My Face,59.0,222857.0,0.000123,0.698,0.972,0.599,11.0,0.102,-2.597,1.0,0.0445,139.94299999999998,4.0,0.036
660,B5 [untitled] but i loved you,40.0,176923.0,0.7190000000000001,0.615,0.303,0.516,0.0,0.152,-13.321,1.0,0.066,114.985,4.0,0.374
661,BACK ON MY SH*T,67.0,169482.0,0.16,0.733,0.737,0.0,11.0,0.379,-6.362,0.0,0.26,149.048,4.0,0.293
662,BAD FOR THE SOUL,42.0,225044.0,0.36,0.873,0.639,1.94e-06,1.0,0.119,-11.237,1.0,0.121,103.994,4.0,0.622
665,BERLIN,73.0,199013.0,0.051,0.716,0.621,0.0,11.0,0.307,-6.626,0.0,0.22,142.08700000000005,4.0,0.644
666,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",88.0,237240.0,0.00552,0.745,0.346,0.0,1.0,0.0881,-7.709,1.0,0.331,203.911,4.0,0.112
667,BIG LOVE,73.0,277173.0,0.0488,0.759,0.455,0.0134,7.0,0.25,-10.319,1.0,0.0457,92.02,4.0,0.134
668,BINGBIAN病变,49.0,241221.0,0.7559999999999999,0.664,0.411,0.0,4.0,0.103,-11.356,1.0,0.0553,113.059,4.0,0.428
669,BINGBONG,36.0,175833.0,0.00891,0.698,0.976,0.865,2.0,0.157,-3.883,1.0,0.0465,143.983,4.0,0.529
670,BISC049: So Clear,26.0,187820.0,0.748,0.593,0.458,2.63e-06,8.0,0.243,-12.725,1.0,0.276,84.376,4.0,0.178
673,BLE$$,33.0,184058.0,0.612,0.789,0.609,0.0,0.0,0.166,-5.324,1.0,0.0436,140.064,4.0,0.7909999999999999
674,BLEACH,76.0,273151.0,0.462,0.595,0.657,0.000597,1.0,0.4370000000000001,-6.497999999999998,0.0,0.183,156.093,4.0,0.718
675,BLUE,36.0,213229.0,0.205,0.58,0.743,0.0,10.0,0.113,-4.577,0.0,0.431,146.234,4.0,0.557
676,BO$$,11.0,171121.0,0.00658,0.8079999999999999,0.873,0.0,6.0,0.0509,-5.2170000000000005,0.0,0.131,102.998,4.0,0.736
678,BOOM - Snavs Remix,58.0,164800.0,0.0174,0.379,0.946,0.243,2.0,0.181,-4.71,1.0,0.113,149.929,4.0,0.506
679,BOOMBAYAH,77.0,240848.0,0.00264,0.6579999999999999,0.836,1.02e-06,5.0,0.507,-3.282,0.0,0.0549,124.969,4.0,0.387
680,BOSS - Radio Edit,56.0,285147.0,0.00306,0.777,0.636,0.288,11.0,0.0352,-8.634,0.0,0.0541,126.005,4.0,0.604
681,BRAVE,65.0,277280.0,0.5770000000000001,0.489,0.366,0.00014,6.0,0.0496,-11.097,1.0,0.0322,88.815,4.0,0.161
682,BUBBLE GUM,72.0,196586.0,0.0942,0.795,0.7829999999999999,0.0,11.0,0.124,-3.1660000000000004,0.0,0.306,76.005,4.0,0.81
684,BYF,56.0,174626.0,0.0499,0.787,0.68,0.0,7.0,0.117,-5.9910000000000005,0.0,0.0488,110.016,4.0,0.574
685,Baba,52.0,196440.0,0.146,0.7659999999999999,0.867,0.0,4.0,0.0719,-3.657,0.0,0.12,110.096,4.0,0.809
686,Baba O'Riley,75.0,300000.0,0.287,0.494,0.722,0.186,5.0,0.283,-8.373,1.0,0.0347,117.312,4.0,0.156
687,Baba O'Riley (Radio Edit),35.0,251706.0,0.000914,0.596,0.809,0.139,6.0,0.163,-7.95,1.0,0.0411,127.975,4.0,0.468
688,Babalao,28.0,268840.0,0.284,0.73,0.664,0.188,0.0,0.0499,-9.069,1.0,0.0374,94.014,4.0,0.6809999999999999
689,Babarabatiri,0.0,833493.0,0.8170000000000001,0.501,0.6679999999999999,0.629,11.0,0.0966,-11.736,0.0,0.0615,104.809,4.0,0.919
691,Baby - Radio Edit,3.0,177763.0,0.0965,0.679,0.422,0.0369,8.0,0.059,-10.088,1.0,0.032,90.022,4.0,0.491
692,Baby Boy,69.0,244826.0,0.0825,0.655,0.488,1.16e-06,1.0,0.221,-9.17,1.0,0.22,91.025,4.0,0.7909999999999999
693,Baby Britain,52.0,193760.0,0.5710000000000001,0.682,0.444,0.0,7.0,0.11,-8.716000000000001,1.0,0.0327,119.547,4.0,0.5720000000000001
694,Baby Can I Hold You,70.0,193120.0,0.0811,0.6920000000000001,0.422,0.0,2.0,0.0848,-10.533,1.0,0.0333,74.375,4.0,0.468
695,Baby Got Back,41.5,261846.0,0.00431,0.9345,0.712,1.695e-06,1.0,0.0651,-9.577,1.0,0.2965,128.473,4.0,0.6365000000000001
696,Baby Hold On,57.0,210826.0,0.154,0.642,0.6409999999999999,1.23e-06,2.0,0.0475,-12.444,1.0,0.049,120.316,4.0,0.85
697,Baby I Lied,37.0,250120.0,0.318,0.63,0.478,6.49e-05,11.0,0.0942,-10.589,1.0,0.0275,92.491,4.0,0.279
698,Baby I'm Yours,4.0,152613.0,0.215,0.462,0.595,0.0,2.0,0.184,-9.363,1.0,0.0347,113.719,4.0,0.64
699,Baby It's You,36.0,152400.0,0.696,0.474,0.42,0.0922,0.0,0.249,-9.147,0.0,0.0286,80.486,4.0,0.476
700,Baby Likes To Rock It,48.0,236466.0,0.165,0.573,0.946,0.00028,5.0,0.13,-6.178,1.0,0.0369,79.96600000000002,4.0,0.964
702,Baby Outlaw,18.0,199840.0,0.057,0.479,0.915,0.000367,0.0,0.284,-2.942,1.0,0.0755,152.016,4.0,0.375
703,Baby Please,58.0,134743.0,0.895,0.703,0.17,2.24e-06,11.0,0.124,-16.569000000000006,0.0,0.0468,144.066,4.0,0.735
704,Baby Shark,79.0,96332.0,0.245,0.825,0.84,0.0,7.0,0.341,-3.651,1.0,0.227,115.062,4.0,0.52
705,Baby When The Light,4.0,207813.0,0.0243,0.585,0.738,0.0,7.0,0.162,-8.03,1.0,0.0349,129.974,4.0,0.25
707,BabyWipe,4.0,168640.0,0.0261,0.8859999999999999,0.516,0.0,1.0,0.375,-8.377,1.0,0.263,148.055,4.0,0.583
708,Bacc To The Basics,63.0,209881.0,0.413,0.835,0.747,0.0,8.0,0.226,-5.252999999999999,0.0,0.122,101.022,4.0,0.672
709,Bachata Rosa,18.0,242200.0,0.79,0.6579999999999999,0.414,2.64e-06,9.0,0.199,-8.522,1.0,0.0311,111.904,4.0,0.51
712,Back 2 U,59.0,275977.0,0.021,0.635,0.875,7.94e-06,10.0,0.139,-6.221,1.0,0.0512,126.034,4.0,0.545
714,Back From the Dead,62.0,213586.0,0.00642,0.5710000000000001,0.967,5.8e-06,9.0,0.227,-3.717,1.0,0.0716,161.96200000000005,4.0,0.7120000000000001
716,Back In Brazil,68.0,200902.0,0.225,0.6659999999999999,0.7859999999999999,0.000218,10.0,0.0988,-8.573,1.0,0.0896,178.03799999999995,4.0,0.459
717,Back In The U.S.S.R. - 2018 Mix,61.0,163466.0,0.00102,0.51,0.893,5.85e-05,9.0,0.201,-9.267,1.0,0.0342,142.657,4.0,0.934
718,Back In Your Heart,67.0,172000.0,0.121,0.531,0.863,0.0,8.0,0.123,-4.082,1.0,0.114,120.055,4.0,0.584
719,Back It Up,30.0,141866.0,0.025,0.653,0.536,0.000105,11.0,0.258,-12.982,0.0,0.0522,131.028,4.0,0.857
